ppsHostClock,ppsRefClock
2025-07-30 16:05:00.335584,328569.452471818207
2025-07-30 16:05:01.007732,328570.452471815428
2025-07-30 16:05:02.011643,328571.452471812815
2025-07-30 16:05:03.010721,328572.452471817633
2025-07-30 16:05:04.009831,328573.452471814753
2025-07-30 16:05:05.009871,328574.452471812018
2025-07-30 16:05:06.008926,328575.452471817196
2025-07-30 16:05:07.007949,328576.452471814565
2025-07-30 16:05:08.011850,328577.452471811789
2025-07-30 16:05:09.010945,328578.452471816840
2025-07-30 16:05:10.010166,328579.452471813890
2025-07-30 16:05:11.010088,328580.452471819103
2025-07-30 16:05:12.009175,328581.452471816448
2025-07-30 16:05:13.008288,328582.452471813555
2025-07-30 16:05:14.008227,328583.452471818667
2025-07-30 16:05:15.011154,328584.452471815878
2025-07-30 16:05:16.011229,328585.452471813214
2025-07-30 16:05:17.010309,328586.452471818257
2025-07-30 16:05:18.009396,328587.452471815368
2025-07-30 16:05:19.009439,328588.452471812766
2025-07-30 16:05:20.008474,328589.452471817747
2025-07-30 16:05:21.007501,328590.452471815143
2025-07-30 16:05:22.011455,328591.452471812702
2025-07-30 16:05:23.010529,328592.452471817976
2025-07-30 16:05:24.009675,328593.452471815360
2025-07-30 16:05:25.009703,328594.452471812880
2025-07-30 16:05:26.008748,328595.452471818150
2025-07-30 16:05:27.007757,328596.452471815480
2025-07-30 16:05:28.011673,328597.452471813096
2025-07-30 16:05:29.010751,328598.452471818260
2025-07-30 16:05:30.010017,328599.452471815485
2025-07-30 16:05:31.009968,328600.452471812992
2025-07-30 16:05:32.008967,328601.452471818097
2025-07-30 16:05:33.008113,328602.452471815600
2025-07-30 16:05:34.008086,328603.452471812873
2025-07-30 16:05:35.010969,328604.452471818034
2025-07-30 16:05:36.011047,328605.452471815424
2025-07-30 16:05:37.010122,328606.452471812595
2025-07-30 16:05:38.009219,328607.452471817697
2025-07-30 16:05:39.009255,328608.452471815254
2025-07-30 16:05:40.008279,328609.452471812641
2025-07-30 16:05:41.011274,328610.452471817867
2025-07-30 16:05:42.011264,328611.452471815373
2025-07-30 16:05:43.010344,328612.452471812649
2025-07-30 16:05:44.009516,328613.452471817628
2025-07-30 16:05:45.009482,328614.452471815195
2025-07-30 16:05:46.008519,328615.452471812592
2025-07-30 16:05:47.007556,328616.452471817758
2025-07-30 16:05:48.011485,328617.452471815137
2025-07-30 16:05:49.010558,328618.452471812814
2025-07-30 16:05:50.010644,328619.452471818022
2025-07-30 16:05:51.009730,328620.452471815597
2025-07-30 16:05:52.008763,328621.452471813212
2025-07-30 16:05:53.007939,328622.452471818201
2025-07-30 16:05:54.011707,328623.452471815762
2025-07-30 16:05:55.010786,328624.452471813156
2025-07-30 16:05:56.010857,328625.452471818089
2025-07-30 16:05:57.009940,328626.452471815765
2025-07-30 16:05:58.009037,328627.452471813159
2025-07-30 16:05:59.009050,328628.452471818203
2025-07-30 16:06:00.008081,328629.452471815647
2025-07-30 16:06:01.011134,328630.452471812705
2025-07-30 16:06:02.011074,328631.452471817578
2025-07-30 16:06:03.010152,328632.452471815091
2025-07-30 16:06:04.009395,328633.452471812306
2025-07-30 16:06:05.009320,328634.452471817465
2025-07-30 16:06:06.008335,328635.452471814690
2025-07-30 16:06:07.007372,328636.452471812074
2025-07-30 16:06:08.011300,328637.452471817361
2025-07-30 16:06:09.010373,328638.452471814683
2025-07-30 16:06:10.010441,328639.452471812027
2025-07-30 16:06:11.009529,328640.452471817071
2025-07-30 16:06:12.008568,328641.452471814404
2025-07-30 16:06:13.007754,328642.452471811515
2025-07-30 16:06:14.011519,328643.452471816442
2025-07-30 16:06:15.010623,328644.452471813666
2025-07-30 16:06:16.010669,328645.452471818537
2025-07-30 16:06:17.009740,328646.452471815773
