hostClock,week,towMS,towSubMS,qErr,timeBase,utc,raim,qErrInvalid,TpNotLocked,timeRefGnss,utcStandard
2025-07-30 23:42:21.031420,2377,344542000,0.0,2428,1,1,2,0,0,15,3
2025-07-30 23:42:22.032502,2377,344543000,0.0,722,1,1,2,0,0,15,3
2025-07-30 23:42:23.031495,2377,344544000,0.0,-808,1,1,2,0,0,15,3
2025-07-30 23:42:24.032485,2377,344545000,0.0,-2468,1,1,2,0,0,15,3
2025-07-30 23:42:25.031628,2377,344546000,0.0,3634,1,1,2,0,0,15,3
2025-07-30 23:42:26.031618,2377,344547000,0.0,1952,1,1,2,0,0,15,3
2025-07-30 23:42:27.032606,2377,344548000,0.0,361,1,1,2,0,0,15,3
2025-07-30 23:42:28.032668,2377,344549000,0.0,-1218,1,1,2,0,0,15,3
2025-07-30 23:42:29.030676,2377,344550000,0.0,-2600,1,1,2,0,0,15,3
2025-07-30 23:42:30.032705,2377,344551000,0.0,3437,1,1,2,0,0,15,3
2025-07-30 23:42:31.030742,2377,344552000,0.0,1402,1,1,2,0,0,15,3
2025-07-30 23:42:32.030919,2377,344553000,0.0,-128,1,1,2,0,0,15,3
2025-07-30 23:42:33.032823,2377,344554000,0.0,-1830,1,1,2,0,0,15,3
2025-07-30 23:42:34.031862,2377,344555000,0.0,-3604,1,1,2,0,0,15,3
2025-07-30 23:42:35.030905,2377,344556000,0.0,2737,1,1,2,0,0,15,3
2025-07-30 23:42:36.031036,2377,344557000,0.0,1112,1,1,2,0,0,15,3
2025-07-30 23:42:37.031147,2377,344558000,0.0,-558,1,1,2,0,0,15,3
2025-07-30 23:42:38.031021,2377,344559000,0.0,-1836,1,1,2,0,0,15,3
2025-07-30 23:42:39.031059,2377,344560000,0.0,-3332,1,1,2,0,0,15,3
2025-07-30 23:42:40.031095,2377,344561000,0.0,3124,1,1,2,0,0,15,3
2025-07-30 23:42:41.031133,2377,344562000,0.0,1413,1,1,2,0,0,15,3
2025-07-30 23:42:42.032182,2377,344563000,0.0,-343,1,1,2,0,0,15,3
2025-07-30 23:42:43.032218,2377,344564000,0.0,-1605,1,1,2,0,0,15,3
